,age_years,num_developers,total_commits,stars,forks,bus_factor,bus_factor_no_bots,burstiness_cv,herfindahl_hirschman_index,hhi_no_bots,stale_issue_ratio,health_percentage,change_request_acceptance_ratio,median_time_to_first_response_issues_hours,median_pr_review_turnaround_hours,core_contributor_count,network_density
age_years,1.0,0.5502,0.5835,0.4522,0.4716,0.3146,0.2939,-0.1975,-0.5661,-0.3108,-0.2819,0.0513,-0.085,0.0056,-0.0024,0.1643,-0.1428
num_developers,0.5502,1.0,0.6937,0.5334,0.5397,0.5423,0.5488,-0.1819,-0.6558,-0.7644,-0.4362,0.1523,-0.0819,-0.3138,-0.214,0.5812,-0.3797
total_commits,0.5835,0.6937,1.0,0.3536,0.3521,0.2383,0.2597,-0.216,-0.4222,-0.3573,-0.2507,0.0168,-0.2031,-0.4776,-0.2893,0.1899,0.0114
stars,0.4522,0.5334,0.3536,1.0,0.7941,0.1394,0.1355,-0.2141,-0.3034,-0.2698,-0.1512,0.1356,0.0704,-0.4088,0.1405,0.3421,-0.2898
forks,0.4716,0.5397,0.3521,0.7941,1.0,0.1116,0.1107,-0.0635,-0.3191,-0.2514,-0.1676,0.3709,0.0245,-0.4368,0.0271,0.3073,-0.181
bus_factor,0.3146,0.5423,0.2383,0.1394,0.1116,1.0,0.9195,-0.0601,-0.6353,-0.7296,-0.4874,0.0026,-0.2028,-0.0321,-0.0698,0.625,-0.5388
bus_factor_no_bots,0.2939,0.5488,0.2597,0.1355,0.1107,0.9195,1.0,-0.09,-0.6281,-0.7871,-0.4257,0.034,-0.1879,-0.0321,-0.0106,0.686,-0.4701
burstiness_cv,-0.1975,-0.1819,-0.216,-0.2141,-0.0635,-0.0601,-0.09,1.0,-0.0208,-0.0018,0.1949,-0.0825,0.0736,0.2962,-0.0113,-0.0363,0.172
herfindahl_hirschman_index,-0.5661,-0.6558,-0.4222,-0.3034,-0.3191,-0.6353,-0.6281,-0.0208,1.0,0.744,0.2581,0.0832,0.0031,0.067,0.1251,-0.4721,0.1868
hhi_no_bots,-0.3108,-0.7644,-0.3573,-0.2698,-0.2514,-0.7296,-0.7871,-0.0018,0.744,1.0,0.4742,0.0052,0.0618,-0.0131,0.1922,-0.6829,0.3178
stale_issue_ratio,-0.2819,-0.4362,-0.2507,-0.1512,-0.1676,-0.4874,-0.4257,0.1949,0.2581,0.4742,1.0,-0.066,-0.2312,-0.0111,0.3323,-0.1959,0.2828
health_percentage,0.0513,0.1523,0.0168,0.1356,0.3709,0.0026,0.034,-0.0825,0.0832,0.0052,-0.066,1.0,0.124,-0.3464,-0.1573,0.1483,-0.1452
change_request_acceptance_ratio,-0.085,-0.0819,-0.2031,0.0704,0.0245,-0.2028,-0.1879,0.0736,0.0031,0.0618,-0.2312,0.124,1.0,-0.0216,-0.3198,-0.0222,-0.0829
median_time_to_first_response_issues_hours,0.0056,-0.3138,-0.4776,-0.4088,-0.4368,-0.0321,-0.0321,0.2962,0.067,-0.0131,-0.0111,-0.3464,-0.0216,1.0,0.4092,-0.1201,0.0285
median_pr_review_turnaround_hours,-0.0024,-0.214,-0.2893,0.1405,0.0271,-0.0698,-0.0106,-0.0113,0.1251,0.1922,0.3323,-0.1573,-0.3198,0.4092,1.0,-0.0313,0.0075
core_contributor_count,0.1643,0.5812,0.1899,0.3421,0.3073,0.625,0.686,-0.0363,-0.4721,-0.6829,-0.1959,0.1483,-0.0222,-0.1201,-0.0313,1.0,-0.7636
network_density,-0.1428,-0.3797,0.0114,-0.2898,-0.181,-0.5388,-0.4701,0.172,0.1868,0.3178,0.2828,-0.1452,-0.0829,0.0285,0.0075,-0.7636,1.0
