repo_full_name,login,name,num_commits,additions,deletions,avg_additions_per_commit,avg_deletions_per_commit,is_bot
bikespace/bikespace,dependabot[bot],dependabot[bot],73,4154,2575,56.9,35.27,True
bikespace/bikespace,sonalranjit,Sonal R,98,835755,65192,8528.11,665.22,False
bikespace/bikespace,tallcoleman,Ben Coleman,32,55171,7587,1724.09,237.09,False
bikespace/bikespace,AlexGopal,AlexGopal,1,378,200,378.0,200.0,False
bikespace/bikespace,KangarooAlpha,Omar Fayyaz,1,47,8,47.0,8.0,False
bikespace/bikespace,krhobeck,krhobeck,13,641,304,49.31,23.38,False
bikespace/bikespace,tallcoleman,Ben Coleman,39,8107,1914,207.87,49.08,False
bikespace/bikespace,iainmcampbell,iain,3,597,314,199.0,104.67,False
bikespace/bikespace,xinweny,Yap Xin Wen,3,1365,1040,455.0,346.67,False
bikespace/bikespace,xinweny,Xin Wen Yap,85,6700,5413,78.82,63.68,False
bikespace/bikespace,hulloanson,hulloanson,26,38673,40165,1487.42,1544.81,False
bikespace/bikespace,bennygoldman,Benny Goldman,1,13,6,13.0,6.0,False
bikespace/bikespace,thomassth,Thomas Kam,2,316,188,158.0,94.0,False
bikespace/bikespace,mbechtel,Mitch Bechtel,1,85,48,85.0,48.0,False
bikespace/bikespace,harsha-mangena,harsha-mangena,2,35,6,17.5,3.0,False
bikespace/bikespace,whoisasey,atina,1,144,141,144.0,141.0,False
bikespace/bikespace,whoisasey,atina,1,144,141,144.0,141.0,False
bikespace/bikespace,kevinluo201,Kevin Luo,12,781,504,65.08,42.0,False
bikespace/bikespace,kevinluo201,Kevin Luo,1,1121,127,1121.0,127.0,False
choruslabs/chorus,MaanasArora,Maanas Arora,280,149076,60455,532.41,215.91,False
choruslabs/chorus,dentropy,Paul Mullins,1,44,0,44.0,0.0,False
choruslabs/chorus,thomassth,Thomas Kam,73,31613,24451,433.05,334.95,False
choruslabs/chorus,aryasadawrate19,Arya Sadawrate,1,3,1,3.0,1.0,False
choruslabs/chorus,cplkake,Vinesh,3,835,73,278.33,24.33,False
choruslabs/chorus,victorfbrito,Victor Brito,1,205,7,205.0,7.0,False
choruslabs/chorus,Latte17,Latte17,1,60,11,60.0,11.0,False
choruslabs/chorus,aminechm,Amine,1,68,11,68.0,11.0,False
choruslabs/chorus,amotaouakkil123,Adam,2,125,52,62.5,26.0,False
choruslabs/chorus,NewJerseyStyle,David H.,7,37,12,5.29,1.71,False
choruslabs/chorus,nicobao,Nicolas Gimenez,3,25,0,8.33,0.0,False
civic-dashboard/civic-dashboard-web,jeromegv,Jérôme Gagnon-Voyer,49,10421,5252,212.67,107.18,False
civic-dashboard/civic-dashboard-web,yaelboyd,yaelboyd,1,102,0,102.0,0.0,False
civic-dashboard/civic-dashboard-web,17cliu,Caroline Liu,19,2440,1655,128.42,87.11,False
civic-dashboard/civic-dashboard-web,anjali-bhaheeratha,anjali-bhaheeratha,1,92,0,92.0,0.0,False
civic-dashboard/civic-dashboard-web,KarishmaChanglani,Karishma Changlani,2,143,10,71.5,5.0,False
civic-dashboard/civic-dashboard-web,khushidahi,khushidahi,1,19,19,19.0,19.0,False
civic-dashboard/civic-dashboard-web,sergeikofman444,Sergei Kofman,2,75,33,37.5,16.5,False
civic-dashboard/civic-dashboard-web,mattorchard,Matthew Orchard,18,17935,8836,996.39,490.89,False
civic-dashboard/civic-dashboard-web,mmythily,mmythily,1,1,1,1.0,1.0,False
civic-dashboard/civic-dashboard-web,QuintinAu,QuintinAu,1,4,0,4.0,0.0,False
civic-dashboard/civic-dashboard-web,gurpreet11307,gurpreet11307,1,102,31,102.0,31.0,False
civic-dashboard/civic-dashboard-web,hermanjustino,Herman Justino,1,1,26,1.0,26.0,False
civic-dashboard/civic-dashboard-web,oscarpinzon,Oscar Pinzon,1,4,24,4.0,24.0,False
civic-dashboard/civic-dashboard-web,jiakamo,Giacomo,2,13,1,6.5,0.5,False
civic-dashboard/civic-dashboard-web,garobrik,garo,12,1497,171,124.75,14.25,False
civic-dashboard/civic-dashboard-web,pliakhov,Paul Liakhov,3,995,31,331.67,10.33,False
civic-dashboard/civic-dashboard-web,mgormley964,Michael Gormley,1,94,3,94.0,3.0,False
civic-dashboard/civic-dashboard-web,Andre053,André,4,517,195,129.25,48.75,False
civic-dashboard/civic-dashboard-web,Khasir,Khasir,2,4,4,2.0,2.0,False
civic-dashboard/civic-dashboard-web,sarmilan,Milan Somasundaram,12,2214,430,184.5,35.83,False
civic-dashboard/civic-dashboard-web,melissaluc,Melissa Luc,6,41900,11795,6983.33,1965.83,False
civic-dashboard/civic-dashboard-web,garobrik,garo (they/them),30,42492,12644,1416.4,421.47,False
civic-dashboard/civic-dashboard-web,garobrik,shrouxm,25,12019,1593,480.76,63.72,False
civic-dashboard/civic-dashboard-web,,Luce Liu,1,237,95,237.0,95.0,False
civic-dashboard/civic-dashboard-web,jwlibre,Jeremy,1,67,0,67.0,0.0,False
CivicTechWR/accessible-housing-portal,adinschmidt,Adin Schmidt,85,54963,320579,646.62,3771.52,False
CivicTechWR/accessible-housing-portal,jliu1016,jliu1016,8,11183,9385,1397.88,1173.12,False
CivicTechWR/accessible-housing-portal,mosleyEID,Matt Baker,1,584,69,584.0,69.0,False
CivicTechWR/accessible-housing-portal,ehharvey,Emil Harvey,3,8075,3592,2691.67,1197.33,False
CivicTechWR/accessible-housing-portal,MarvelousChester,Karandeep Sandhu,1,2,2,2.0,2.0,False
CivicTechWR/accessible-housing-portal,,Jessica Liu,4,147,153,36.75,38.25,False
CivicTechWR/accessible-housing-portal,,Jessica Liu,2,29,38,14.5,19.0,False
CivicTechWR/accessible-housing-portal,emilyjablonski,Emily Jablonski,88,30725,14827,349.15,168.49,False
CivicTechWR/accessible-housing-portal,jaredcwhite,Jared White,31,6624,1823,213.68,58.81,False
CivicTechWR/accessible-housing-portal,,Avritt Rohwer,18,6775,1097,376.39,60.94,False
CivicTechWR/accessible-housing-portal,KrissDrawing,Krzysztof Zięcina,68,12920,1766,190.0,25.97,False
CivicTechWR/accessible-housing-portal,millord,juanmillord,36,8597,976,238.81,27.11,False
CivicTechWR/accessible-housing-portal,matzduniuk,Mateusz Zduniuk,59,25050,3317,424.58,56.22,False
CivicTechWR/accessible-housing-portal,ludtkemorgan,Morgan Ludtke,39,14756,11186,378.36,286.82,False
CivicTechWR/accessible-housing-portal,YazeedLoonat,Yazeed Loonat,6,4867,1529,811.17,254.83,False
CivicTechWR/accessible-housing-portal,mcgarrye,Eric McGarry,23,16085,4992,699.35,217.04,False
CivicTechWR/accessible-housing-portal,mcgarrye,Eric McGarry,1,2,2,2.0,2.0,False
CivicTechWR/accessible-housing-portal,ColinBuyck,ColinBuyck,18,3564,713,198.0,39.61,False
CivicTechWR/accessible-housing-portal,skeller-exy,skeller-exy,5,124,50,24.8,10.0,False
CivicTechWR/accessible-housing-portal,dependabot[bot],dependabot[bot],1,6,6,6.0,6.0,True
CivicTechWR/accessible-housing-portal,,Bartłomiej Ponikiewski,3,1760,782,586.67,260.67,False
CivicTechWR/connectedkw,,Sharon,253,246091,155994,972.69,616.58,False
CivicTechWR/connectedkw,s-kennedy,Shay,25,254095,30032,10163.8,1201.28,False
CivicTechWR/connectedkw,vercel[bot],Vercel,2,2,4,1.0,2.0,True
CivicTechWR/connectedkw,samnabi,Sam Nabi,6,329,733,54.83,122.17,False
CivicTechWR/connectedkw,BreakableHoodie,Andre Levesque,2,80,43,40.0,21.5,False
CivicTechWR/connectedkw,,Jessica Liu,7,209,105,29.86,15.0,False
CivicTechWR/connectedkw,jliu1016,jliu1016,4,1988,180,497.0,45.0,False
CivicTechWR/connectedkw,,Jessica Liu,4,36,57,9.0,14.25,False
CivicTechWR/connectedkw,,Jessica Liu,8,1794,127,224.25,15.88,False
CivicTechWR/connectedkw,craig-sloss,craig-sloss,1,886,0,886.0,0.0,False
CivicTechWR/connectedkw,ian-cawood,ian-cawood,2,55,11,27.5,5.5,False
CivicTechWR/connectedkw,NipunGrover,Nipun Grover,6,7979,7433,1329.83,1238.83,False
CivicTechWR/connectedkw,thrishma,Thrishma Reddy,5,242,156,48.4,31.2,False
CivicTechWR/connectedkw,ssalb1z,Syed Albiz,2,6546,6812,3273.0,3406.0,False
CivicTechWR/connectedkw,writingindy,Indy Ng,7,635,162,90.71,23.14,False
CivicTechWR/connectedkw,Goldbreaker,MarvelousChester,2,165,153,82.5,76.5,False
CivicTechWR/connectedkw,ssalbiz-relay,Syed Albiz,1,580,373,580.0,373.0,False
CivicTechWR/connectedkw,noiteration,SahirP,9,877,222,97.44,24.67,False
CivicTechWR/connectedkw,dive-up,Resham Singh Lotay,1,377,12,377.0,12.0,False
CivicTechWR/connectedkw,coleWesterveld,coleWesterveld,4,690,222,172.5,55.5,False
CivicTechWR/connectedkw,cdslipp,Cameron Slipp,5,3884,51,776.8,10.2,False
CivicTechWR/connectedkw,PaulPenera829,PaulPenera,4,32,18,8.0,4.5,False
CivicTechWR/connectedkw,,Sharon Kennedy,54,60034,31585,1111.74,584.91,False
CivicTechWR/go-train-group-pass,BreakableHoodie,Dre Levesque,1,410,1,410.0,1.0,False
CivicTechWR/go-train-group-pass,jliu1016,jliu1016,9,20962,32473,2329.11,3608.11,False
CivicTechWR/go-train-group-pass,Mosaab-Emam,Mosaab El-Emam,3,135,3,45.0,1.0,False
CivicTechWR/go-train-group-pass,adinschmidt,Adin Schmidt,7,10762,11523,1537.43,1646.14,False
CivicTechWR/go-train-group-pass,ApilaashY,Apilaash Yoharan,2,682,22,341.0,11.0,False
CivicTechWR/go-train-group-pass,Copilot,Copilot,1,44,49,44.0,49.0,False
CivicTechWR/go-train-group-pass,BreakableHoodie,Dre Levesque,49,11623,8123,237.2,165.78,False
CivicTechWR/go-train-group-pass,,ondre,29,24014,5699,828.07,196.52,False
CivicTechWR/go-train-group-pass,,Dre (Claude Code Assisted),4,2165,1629,541.25,407.25,False
CivicTechWR/go-train-group-pass,,Dre Levesque,2,9955,0,4977.5,0.0,False
CivicTechWR/go-train-group-pass,BreakableHoodie,BreakableHoodie,1,0,0,0.0,0.0,False
CivicTechWR/project-pech,vercel[bot],vercel[bot],1,46,46,46.0,46.0,True
CivicTechWR/project-pech,j2fyi,j2fyi,96,44689,36043,465.51,375.45,False
CivicTechWR/project-pech,,wk5ng,2,60,64,30.0,32.0,False
CivicTechWR/project-pech,writingindy,Indy Ng,78,683,284,8.76,3.64,False
CivicTechWR/project-pech,NipunGrover,Nipun Grover,5,7883,118,1576.6,23.6,False
CivicTechWR/project-pech,BreakableHoodie,Andre Levesque,1,42,1,42.0,1.0,False
CivicTechWR/project-pech,MarvelousChester,Karandeep Sandhu,1,425,18,425.0,18.0,False
CivicTechWR/project-pech,,NipunGrover,2,203,103,101.5,51.5,False
CivicTechWR/WRVotesPlaceholder,SyedAlbiz,Syed Muhammad Hasan Albiz,1,89149,2,89149.0,2.0,False
CivicTechWR/WRVotesPlaceholder,pnijjar,Paul Nijjar,199,150886,81660,758.22,410.35,False
CivicTechWR/WRVotesPlaceholder,pnijjar,Paul Nijjar,3,2,2,0.67,0.67,False
CivicTechWR/WRVotesPlaceholder,s-kennedy,Shay,4,2,2,0.5,0.5,False
CivicTechWR/WRVotesPlaceholder,acant,Andrew Sullivan Cant,2,7,4,3.5,2.0,False
CivicTechWR/WRVotesPlaceholder,BreakableHoodie,Andre Levesque,4,184,100,46.0,25.0,False
CivicTechWR/WRVotesPlaceholder,,pnijjar,260,3004,2274,11.55,8.75,False
CivicTechWR/WRVotesPlaceholder,,WRV Auto-committer,25,10,10,0.4,0.4,False
CivicTechWR/WRVotesPlaceholder,skchuhan,sukhi chuhan,2,6,5,3.0,2.5,False
civiform/civiform,tallulahkay,Tallulah Kay,67,9940,4034,148.36,60.21,False
civiform/civiform,melanie-exygy,Melanie Barker,17,2522,1248,148.35,73.41,False
civiform/civiform,renovate[bot],renovate[bot],259,4536,5370,17.51,20.73,True
civiform/civiform,shane-exygy,shane-exygy,42,5720,1909,136.19,45.45,False
civiform/civiform,gwendolyngoetz,Gwendolyn Goetz,29,7816,800,269.52,27.59,False
civiform/civiform,rockycodes,rocky,16,2668,2221,166.75,138.81,False
civiform/civiform,swatkat1,Swathi Murthi,7,315,83,45.0,11.86,False
civiform/civiform,dependabot[bot],dependabot[bot],23,296,226,12.87,9.83,True
civiform/civiform,AlvieH,Alvin Hermans,13,2072,428,159.38,32.92,False
civiform/civiform,transifex-integration[bot],transifex-integration[bot],2,7353,446,3676.5,223.0,True
civiform/civiform,CallaJune,Calla,15,4030,1773,268.67,118.2,False
civiform/civiform,fernandez-jack,fernandez-jack,3,358,61,119.33,20.33,False
civiform/civiform,nb1701,Nick Burgan,5,72,9,14.4,1.8,False
civiform/civiform,azhangggggg,azhangggggg,2,233,14,116.5,7.0,False
codeforamerica/asap_pdf,robdiciuccio,Rob DiCiuccio,2,22,0,11.0,0.0,False
codeforamerica/asap_pdf,jennthom,Jenn Thom,1,1,2,1.0,2.0,False
codeforamerica/asap_pdf,lkacenja,Leo Kacenjar,309,69441,96804,224.73,313.28,False
codeforamerica/asap_pdf,dependabot[bot],dependabot[bot],93,587,575,6.31,6.18,True
codeforamerica/asap_pdf,allisonmorgan,Allison Morgan,27,2401,692,88.93,25.63,False
codeforamerica/asap_pdf,xdotcommer,Michael Cowden,68,71243,47989,1047.69,705.72,False
codeforamerica/cmr-maryland-eligibility-determination,victorSauceda,victorSauceda,28,1796,448,64.14,16.0,False
codeforamerica/cmr-maryland-eligibility-determination,victorSauceda,Victor Sauceda,21,1825,708,86.9,33.71,False
codeforamerica/document-transfer-service,jamesiarmes,James Armes (they/them),12,7731,838,644.25,69.83,False
codeforamerica/document-transfer-service,jamesiarmes,James Armes (they/them),1,79,0,79.0,0.0,False
codeforamerica/efiler-api,nickedwards109,Nick Edwards,1,14,2,14.0,2.0,False
codeforamerica/efiler-api,dependabot[bot],dependabot[bot],43,311,309,7.23,7.19,True
codeforamerica/efiler-api,mrotondo,Mike Rotondo,36,3050,1241,84.72,34.47,False
codeforamerica/efiler-api,DrewProebstel,Drew Proebstel,1,5,1,5.0,1.0,False
codeforamerica/efiler-api,tahsinaislam,Tahsina Islam,6,121,10,20.17,1.67,False
codeforamerica/efiler-api,powersurge360,Kevin Diale,1,62,32,62.0,32.0,False
codeforamerica/efiler-api,anisharamnani,Anisha Ramnani,15,506,332,33.73,22.13,False
codeforamerica/efiler-api,jenny-heath,jenny-heath,15,713,102,47.53,6.8,False
codeforamerica/efiler-api,mrotondo,Mike Rotondo,1,396,60,396.0,60.0,False
codeforamerica/efiler-api,jenny-heath,Jenny Heath,11,780,155,70.91,14.09,False
codeforamerica/efiler-api,anisharamnani,Anisha Ramnani,1,0,0,0.0,0.0,False
codeforamerica/form-flow,dependabot[bot],dependabot[bot],358,2076,1957,5.8,5.47,True
codeforamerica/form-flow,cram-cfa,Marc P,72,12052,12150,167.39,168.75,False
codeforamerica/form-flow,ShaynaCummings,Shayna Cummings,1,5,0,5.0,0.0,False
codeforamerica/form-flow,cfa-platforms-robot,CfA Platforms Robot,48,141,141,2.94,2.94,True
codeforamerica/form-flow,spokenbird,Alex Gonzalez,11,1546,265,140.55,24.09,False
codeforamerica/form-flow,analoo,Ana Medrano Fernandez,6,1105,103,184.17,17.17,False
codeforamerica/form-flow,spokenbird,spokenbird,1,25,0,25.0,0.0,False
codeforamerica/form-flow,mtodd-cfa,Morgan Todd,3,135,25,45.0,8.33,False
codeforamerica/pya,robdiciuccio,Rob DiCiuccio,1,4,0,4.0,0.0,False
codeforamerica/pya,dependabot[bot],dependabot[bot],92,516,510,5.61,5.54,True
codeforamerica/pya,DrewProebstel,Drew Proebstel,68,8761,3660,128.84,53.82,False
codeforamerica/pya,tahsinaislam,Tahsina Islam,6,203,356,33.83,59.33,False
codeforamerica/pya,embarnard,em barnard,1,6,6,6.0,6.0,False
codeforamerica/pya,mrotondo,Mike Rotondo,7,227,210,32.43,30.0,False
codeforamerica/pya,powersurge360,Kevin Diale,12,106,64,8.83,5.33,False
codeforamerica/pya,jenny-heath,jenny-heath,1,19,0,19.0,0.0,False
codeforamerica/pya,arinchoi03,Yejee Arin Choi,53,1567,708,29.57,13.36,False
codeforamerica/pya,anisharamnani,Anisha Ramnani,5,720,720,144.0,144.0,False
codeforamerica/pya,anisharamnani,Anisha Ramnani,16,7062,839,441.38,52.44,False
codeforamerica/pya,arinchoi03,Yejee Arin Choi,4,40,3,10.0,0.75,False
codeforamerica/tax-benefits-backend,nickedwards109,Nick Edwards,3,40,9,13.33,3.0,False
codeforamerica/tax-benefits-backend,mrotondo,Mike Rotondo,45,1604,276,35.64,6.13,False
codeforamerica/tax-benefits-backend,DrewProebstel,Drew Proebstel,16,552,138,34.5,8.62,False
codeforamerica/tax-benefits-backend,tahsinaislam,Tahsina Islam,15,274,49,18.27,3.27,False
codeforamerica/tax-benefits-backend,dfl,David Löwenfels,1,173,175,173.0,175.0,False
codeforamerica/tax-benefits-backend,powersurge360,Kevin Diale,10,298,74,29.8,7.4,False
codeforamerica/tax-benefits-backend,jamesiarmes,James Armes (they/them),45,5747,1898,127.71,42.18,False
codeforamerica/tax-benefits-backend,robdiciuccio,Rob DiCiuccio,6,387,26,64.5,4.33,False
codeforamerica/tax-benefits-backend,anisharamnani,Anisha Ramnani,13,501,319,38.54,24.54,False
codeforamerica/tax-benefits-backend,jenny-heath,jenny-heath,12,203,57,16.92,4.75,False
codeforamerica/tax-benefits-backend,arinchoi03,Yejee Arin Choi,26,1098,153,42.23,5.88,False
codeforamerica/tax-benefits-backend,anisharamnani,Anisha Ramnani,1,32,12,32.0,12.0,False
codeforamerica/tax-benefits-backend,jamesiarmes,James Armes (they/them),1,36,0,36.0,0.0,False
codeforamerica/vita-min,embarnard,em barnard,105,15759,5879,150.09,55.99,False
codeforamerica/vita-min,dependabot[bot],dependabot[bot],22,427,349,19.41,15.86,True
codeforamerica/vita-min,aikido-autofix[bot],aikido-autofix[bot],2,5,2,2.5,1.0,True
codeforamerica/vita-min,semgrep-code-codeforamerica[bot],semgrep-code-codeforamerica[bot],1,4,2,4.0,2.0,True
