var_a,var_b,rho,p_value,n_pairs,significant_uncorrected,significant_fdr
num_developers,stars,0.7262,0.0,37,True,True
num_developers,forks,0.7264,0.0,37,True,True
num_developers,total_commits,0.7933,0.0,37,True,True
total_commits,forks,0.7219,0.0,37,True,True
stars,forks,0.9351,0.0,37,True,True
bus_factor_no_bots,hhi_no_bots,-0.9197,0.0,37,True,True
bus_factor,hhi_no_bots,-0.8735,0.0,37,True,True
bus_factor,bus_factor_no_bots,0.9633,0.0,37,True,True
total_commits,stars,0.6877,3e-06,37,True,True
num_developers,hhi_no_bots,-0.6723,5e-06,37,True,True
bus_factor_no_bots,core_contributor_count,0.6571,1e-05,37,True,True
hhi_no_bots,core_contributor_count,-0.6503,1.3e-05,37,True,True
bus_factor,core_contributor_count,0.649,1.4e-05,37,True,True
herfindahl_hirschman_index,hhi_no_bots,0.6465,1.5e-05,37,True,True
age_years,forks,0.6258,3.4e-05,37,True,True
age_years,total_commits,0.6074,6.7e-05,37,True,True
core_contributor_count,network_density,-0.6697,7.1e-05,29,True,True
num_developers,core_contributor_count,0.6014,8.3e-05,37,True,True
num_developers,bus_factor_no_bots,0.6012,8.3e-05,37,True,True
age_years,stars,0.5905,0.00012,37,True,True
bus_factor,herfindahl_hirschman_index,-0.57,0.000231,37,True,True
bus_factor_no_bots,herfindahl_hirschman_index,-0.5588,0.000325,37,True,True
num_developers,bus_factor,0.5424,0.000524,37,True,True
age_years,num_developers,0.5413,0.000541,37,True,True
num_developers,health_percentage,0.5365,0.000619,37,True,True
herfindahl_hirschman_index,core_contributor_count,-0.5216,0.000932,37,True,True
stars,health_percentage,0.5156,0.001091,37,True,True
change_request_acceptance_ratio,median_pr_review_turnaround_hours,-0.5515,0.00193,29,True,True
forks,health_percentage,0.4853,0.002328,37,True,True
health_percentage,core_contributor_count,0.4744,0.003016,37,True,True
total_commits,median_time_to_first_response_issues_hours,-0.52,0.009198,24,True,True
total_commits,hhi_no_bots,-0.4033,0.013325,37,True,False
total_commits,health_percentage,0.3972,0.014914,37,True,False
num_developers,herfindahl_hirschman_index,-0.3736,0.022738,37,True,False
